Date,Portfolio_Value,Regime,Holdings
2016-06-30,99974.9879860007,0.0,{'BIL': 1.0}
2016-07-01,100018.67775193088,0.0,{'BIL': 1.0}
2016-07-05,100018.67775193088,0.0,{'BIL': 1.0}
2016-07-06,99996.8791832053,0.0,{'BIL': 1.0}
2016-07-07,100018.67775193088,0.0,{'BIL': 1.0}
2016-07-08,99996.8791832053,0.0,{'BIL': 1.0}
2016-07-11,100018.67775193088,0.0,{'BIL': 1.0}
2016-07-12,99974.9879860007,0.0,{'BIL': 1.0}
2016-07-13,99996.8791832053,0.0,{'BIL': 1.0}
2016-07-14,100018.67775193088,0.0,{'BIL': 1.0}
2016-07-15,99991.88132150676,0.0,{}
2016-07-18,99991.88132150676,0.0,{}
2016-07-19,99991.88132150676,0.0,{}
2016-07-20,99991.88132150676,0.0,{}
2016-07-21,99991.88132150676,0.0,{}
2016-07-22,99991.88132150676,0.0,{}
2016-07-25,99991.88132150676,0.0,{}
2016-07-26,99991.88132150676,0.0,{}
2016-07-27,99986.8823698798,0.0,{'BIL': 1.0}
2016-07-28,99965.08380115421,0.0,{'BIL': 1.0}
2016-07-29,99961.88861153528,0.0,{}
2016-08-01,99961.88861153528,0.0,{}
2016-08-02,99961.88861153528,0.0,{}
2016-08-03,99961.88861153528,0.0,{}
2016-08-04,99961.88861153528,0.0,{}
2016-08-05,99961.88861153528,0.0,{}
2016-08-08,99961.88861153528,0.0,{}
2016-08-09,99961.88861153528,0.0,{}
2016-08-10,99961.88861153528,0.0,{}
2016-08-11,99961.88861153528,0.0,{}
2016-08-12,99961.88861153528,0.0,{}
2016-08-15,99961.88861153528,0.0,{}
2016-08-16,99961.88861153528,0.0,{}
2016-08-17,99961.88861153528,0.0,{}
2016-08-18,99961.88861153528,0.0,{}
2016-08-19,99936.91682853186,0.0,{'BIL': 0.999}
2016-08-22,99936.91682853186,0.0,{'BIL': 0.999}
2016-08-23,99936.91682853186,0.0,{'BIL': 0.999}
2016-08-24,99958.69923819983,0.0,{'BIL': 0.999}
2016-08-25,99936.91682853186,0.0,{'BIL': 0.999}
2016-08-26,99936.91682853186,0.0,{'BIL': 0.999}
2016-08-29,99958.69923819983,0.0,{'BIL': 0.999}
2016-08-30,99958.69923819983,0.0,{'BIL': 0.999}
2016-08-31,99958.69923819983,0.0,{'BIL': 0.999}
2016-09-01,99958.69923819983,0.0,{'BIL': 0.999}
2016-09-02,99980.5947765299,0.0,{'BIL': 0.999}
2016-09-06,99980.5947765299,0.0,{'BIL': 0.999}
2016-09-07,99958.69923819983,0.0,{'BIL': 0.999}
2016-09-08,99958.69923819983,0.0,{'BIL': 0.999}
2016-09-09,99980.5947765299,0.0,{'BIL': 0.999}
2016-09-12,99936.91682853186,1.0,{'BIL': 0.999}
2016-09-13,99955.56634708172,1.0,{}
2016-09-14,99955.56634708172,1.0,{}
2016-09-15,99645.550327237,1.0,{'GLD': 0.996}
2016-09-16,99400.02621835028,1.0,{'GLD': 0.996}
2016-09-19,99605.94791024481,1.0,{'GLD': 0.996}
2016-09-20,99700.99008553778,1.0,{'GLD': 0.996}
2016-09-21,100380.85726231041,1.0,{}
2016-09-22,100380.85726231041,1.0,{}
2016-09-23,100380.85726231041,1.0,{}
2016-09-26,100380.85726231041,1.0,{}
2016-09-27,100428.66401095828,1.0,"{'TLT': 0.376, 'DBC': 0.62}"
2016-09-28,100631.42145093778,1.0,{'TLT': 0.374}
2016-09-29,101251.98257192253,1.0,{'TLT': 0.996}
2016-09-30,100350.83578237175,1.0,{'TLT': 0.996}
2016-10-03,100021.07684072136,1.0,{'TLT': 0.996}
2016-10-04,98856.1836522448,1.0,{'TLT': 0.996}
2016-10-05,98397.48797353386,1.0,{'TLT': 0.996}
2016-10-06,97851.47231801628,1.0,{'TLT': 0.996}
2016-10-07,97917.00750478386,1.0,{'TLT': 0.996}
2016-10-10,97341.87313588738,1.0,{'TLT': 0.996}
2016-10-11,97121.08435668978,1.0,{}
2016-10-12,97121.08435668978,1.0,{}
2016-10-13,97121.08435668978,1.0,{}
2016-10-14,97121.08435668978,1.0,{}
2016-10-17,97121.08435668978,1.0,{}
2016-10-18,97121.08435668978,1.0,{}
2016-10-19,96936.37801467149,1.0,{'XLU': 1.0}
2016-10-20,96876.21991835801,1.0,{'XLU': 1.0}
2016-10-21,96314.62712584702,1.0,{'XLU': 1.0}
2016-10-24,96675.6377650377,1.0,{'XLU': 1.0}
2016-10-25,97277.31182013718,1.0,{'XLU': 1.0}
2016-10-26,97517.99592314927,1.0,{'XLU': 1.0}
2016-10-27,96936.37801467149,1.0,{'XLU': 1.0}
2016-10-28,97237.19952689378,1.0,{'XLU': 1.0}
2016-10-31,99182.65609275071,1.0,{'XLU': 1.0}
2016-11-01,97377.61324034898,1.0,{'XLU': 1.0}
2016-11-02,96154.18829642503,1.0,{'XLU': 1.0}
2016-11-03,96515.1989356157,1.0,{'XLU': 1.0}
2016-11-04,96214.3463927385,1.0,{'XLU': 1.0}
2016-11-07,97899.03167830674,1.0,{'XLU': 1.0}
2016-11-08,98661.18593703477,1.0,{'XLU': 1.0}
2016-11-09,95031.05442916123,1.0,{'XLU': 1.0}
2016-11-10,94506.0654292564,1.0,{}
2016-11-11,94506.0654292564,1.0,{}
2016-11-14,94506.0654292564,1.0,{}
2016-11-15,94506.0654292564,1.0,{}
2016-11-16,94506.0654292564,1.0,{}
2016-11-17,94506.0654292564,1.0,{}
2016-11-18,94506.0654292564,1.0,{}
2016-11-21,94506.0654292564,1.0,{}
2016-11-22,94506.0654292564,1.0,{}
2016-11-23,94506.0654292564,1.0,{}
2016-11-25,94506.0654292564,1.0,{}
2016-11-28,94506.0654292564,1.0,{}
2016-11-29,94506.0654292564,1.0,{}
2016-11-30,94506.0654292564,1.0,{}
2016-12-01,94506.0654292564,1.0,{}
2016-12-02,94506.0654292564,1.0,{}
2016-12-05,94506.0654292564,1.0,{}
2016-12-06,94506.0654292564,1.0,{}
2016-12-07,94506.0654292564,1.0,{}
2016-12-08,94506.0654292564,1.0,{}
2016-12-09,94506.0654292564,1.0,{}
2016-12-12,94506.0654292564,1.0,{}
2016-12-13,94506.0654292564,1.0,{}
2016-12-14,94506.0654292564,1.0,{}
2016-12-15,94506.0654292564,1.0,{}
2016-12-16,94506.0654292564,1.0,{}
2016-12-19,94506.0654292564,1.0,{}
2016-12-20,94506.0654292564,1.0,{}
2016-12-21,94506.0654292564,1.0,{}
2016-12-22,94506.0654292564,1.0,{}
2016-12-23,94506.0654292564,1.0,{}
2016-12-27,94506.0654292564,1.0,{}
2016-12-28,94506.0654292564,1.0,{}
2016-12-29,94506.0654292564,1.0,{}
2016-12-30,94506.0654292564,1.0,{}
2017-01-03,95458.11398934136,1.0,{'TLT': 0.994}
2017-01-04,95529.5725754033,1.0,{}
2017-01-05,95529.5725754033,1.0,{}
2017-01-06,95529.5725754033,1.0,{}
2017-01-09,95529.5725754033,1.0,{}
2017-01-10,95088.75934757105,1.0,{'DBC': 0.5}
2017-01-11,95493.1377329712,1.0,{'DBC': 0.204}
2017-01-12,95933.85504655057,1.0,{'DBC': 0.505}
2017-01-13,95950.06233462504,1.0,{'DBC': 0.998}
2017-01-17,96418.72844040248,1.0,{'DBC': 0.497}
2017-01-18,95800.81286164676,1.0,{'DBC': 0.997}
2017-01-19,95548.50283645463,1.0,{'DBC': 0.886}
2017-01-20,96557.7224949851,1.0,{'DBC': 0.501}
2017-01-23,96557.7224949851,1.0,{'DBC': 0.501}
2017-01-24,96560.08995855265,1.0,"{'TLT': 0.339, 'DBC': 0.411, 'XLU': 0.249}"
2017-01-25,96025.85161848922,1.0,"{'DBC': 0.5, 'XLU': 0.25}"
2017-01-26,96242.4205413948,1.0,"{'DBC': 0.569, 'XLU': 0.25}"
2017-01-27,95849.35132553068,1.0,"{'DBC': 0.499, 'XLU': 0.251}"
2017-01-30,95613.73363924562,1.0,"{'DBC': 0.33, 'XLU': 0.336}"
2017-01-31,96570.6412295379,1.0,{'XLU': 0.503}
2017-02-01,96075.86496124021,1.0,"{'DBC': 0.491, 'XLU': 0.496}"
2017-02-02,96579.18070754758,1.0,"{'DBC': 0.489, 'XLU': 0.499}"
2017-02-03,96608.73603591672,1.0,"{'DBC': 0.488, 'XLU': 0.5}"
2017-02-06,96213.5528808569,1.0,"{'DBC': 0.487, 'XLU': 0.501}"
2017-02-07,96124.4321104025,1.0,"{'DBC': 0.485, 'XLU': 0.502}"
2017-02-08,96776.06575546018,1.0,"{'DBC': 0.484, 'XLU': 0.504}"
2017-02-09,96598.74216518155,1.0,"{'DBC': 0.487, 'XLU': 0.5}"
2017-02-10,97293.38558583942,1.0,"{'DBC': 0.489, 'XLU': 0.371}"
2017-02-13,96935.35770517078,1.0,"{'DBC': 0.485, 'XLU': 0.374}"
2017-02-14,96656.66244439702,1.0,"{'DBC': 0.487, 'XLU': 0.498}"
2017-02-15,96598.55724553685,1.0,"{'DBC': 0.488, 'XLU': 0.497}"
2017-02-16,96781.44067029576,1.0,"{'DBC': 0.484, 'XLU': 0.501}"
2017-02-17,96721.83826474767,1.0,"{'DBC': 0.484, 'XLU': 0.501}"
2017-02-21,97171.2900259934,1.0,"{'DBC': 0.481, 'XLU': 0.504}"
2017-02-22,97151.71889862053,1.0,"{'DBC': 0.155, 'XLU': 0.507}"
2017-02-23,97402.66204170922,1.0,{'DBC': 0.155}
2017-02-24,97408.49239671041,1.0,{}
2017-02-27,97408.49239671041,1.0,{}
2017-02-28,97408.49239671041,1.0,{}
2017-03-01,97408.49239671041,1.0,{}
2017-03-02,97408.49239671041,1.0,{}
2017-03-03,97847.96707465046,1.0,{'GLD': 0.994}
2017-03-06,97193.84631659382,1.0,{'GLD': 0.994}
